German,English
anfangen,begin
Habe,Have
hinten,rear
fällt,fall
wen,whom
Sekunden,Seconds
Manchmal,Once in a while
gerettet,saved
Naja,Oh well
Gibt,Are
jemals,ever
Meinung,opinion
geschehen,happen
Antwort,reply
schlimm,terrible
Eigentlich,actually
findet,find
Scheiß,Shit
gewinnen,to win
Tu,Tu
Gedanken,thoughts
erinnere,recall
mögen,like
Herren,Men's
klingt,sound
vorher,before
Auge,eye
hab',have'
setzen,set
cool,cool
Anfang,beginning
Immer,always
danach,after that
Monate,months
Lebens,Life
Beste,best
benutzen,use
Nehmen,To take
fühlen,feel
Ärger,trouble
arbeite,work
Rolle,role
gefährlich,dangerous
Dort,there
gelernt,learned
fallen,fall
böse,evil
werd,be
Nähe,vicinity
geschickt,sent
liebt,loving
Tisch,table
Mehr,More
Ziel,aim
Raum,space
jedem,each
fliegen,to fly
Wohnung,apartment
Dafür,Therefore
erfahren,Experienced
dumm,stupid
eher,rather
vorsichtig,carefully
herum,hereabouts
Klappe,flap
schicken,send
Laden,load
aufs,onto
Wird,Will
Warten,Wait
großer,greater
arbeitet,is working
Euer,Your
Worte,Words
richtige,right one
Flugzeug,plane
Firma,company
bezahlen,pay
Einer,A
Glaubst,Believe
falls,if
schreiben,to write
tat,did
Darum,Therefore
starb,died
Schluss,Enough
Fenster,window
liegen,lie
wär's,be
Verzeihung,forgiveness
niemanden,no one
neues,new
Weiß,White
benutzt,used
nen,nine
jedes,each
schätze,treasures
Finger,finger
wert,worth
rüber,over
halte,hold
Falls,If
besonders,especially
Daddy,Daddy
Witz,joke
nachdem,after
nimmt,takes
Kontrolle,control
großartig,Great
Herzen,Heart
gutes,good
gewonnen,won
Bier,beer
kamen,came
Drei,Three
stolz,proudly
Egal,does not matter
komisch,Strange
bitten,request
Ihrer,Of their
plötzlich,suddenly
Bring,Bring
Informationen,information
bring,bring
neu,New
glaubt,believe
Seid,Are
hörte,heard
rum,rum
Lage,position
sowieso,anyway
bekommt,receives
Ruf,call
dagegen,on the other hand
Richtung,direction
nötig,necessary
Minute,minute
lesen,read
behalten,to keep
selber,myself
verkaufen,to sell
geschrieben,written
Entscheidung,decision
unterwegs,On the way
Insel,Island
Hotel,hotel
voller,full of
frage,ask
Monat,month
rufe,call
verdient,deserved
gearbeitet,worked
wenigstens,at least
wünschte,wished
tu,tu
schöne,lovely
Selbst,Self
Seele,soul
stand,was standing
Geist,spirit
Gefahr,danger
Gefallen,Please
unmöglich,impossible
gelesen,had read
glaub,belie
Wegen,Because
bezahlt,paid
Schicksal,fate
verstehst,understand
leider,Unfortunately
Monaten,Monthly
Weile,while
verheiratet,married
mussten,had
Agent,agent
rufen,call
jemandem,someone
gib,give
Beispiel,example
kalt,cold
sitzt,sitting
Anruf,phone call
Sekunde,second
schneller,more quickly
hey,hey
verdammte,damn
euer,your
hole,go
Denkst,Think
Bauer,Farmer
Karte,map
aller,all
du's,You's
Befehl,command
darfst,can
bekannt,known
Opfer,victim
unglaublich,unbelievable
steckt,plugged
Ernst,serious
unbedingt,necessarily
Wen,Whom
Zug,train
perfekt,Perfect
witzig,funny
Amerika,America
Keiner,None
Kamera,camera
führt,leads
passt,fits
schlagen,hit
kriegt,wart
Glauben,Believe
sieh,look
nennt,names
bin's,I'm
Gefühle,Feelings
ständig,constant
verändert,changes
tolle,great
Gottes,God
heiß,hot
Partner,partner
Mörder,murderer
folgen,Follow
Mich,Me
Computer,computer
dahin,there
ansehen,look at
Außerdem,Besides that
Wovon,About what
nimm,take
klein,small
zerstört,destroyed
suche,seek
I,I
nämlich,namely
Versuch,attempt
schlimmer,worse
Sheriff,sheriff
Unfall,accident
müsste,might
entschuldigen,apologize
Vorsicht,caution
Nase,nose
sowas,like this
schießen,shoot
alter,old
Geburtstag,birthday
beschützen,to protect
Zurück,Back
müde,tired
Beziehung,relationship
gestohlen,stolen
stirbt,dying
Geheimnis,secret
süß,Sweet
offen,open minded
Ihrem,Yours
Geschenk,gift
Punkt,Point
Über,Over
hilft,help
Dame,lady
bewegen,move
solange,so long
sauer,angry
Tasche,bag
Schritt,step
Sie's,You's it
Setz,Sitting
Arm,poor
meinte,mean
müsst,must
erwischt,Caught
gehabt,false
Bart,beard
vertrauen,trust
erreichen,reach
wär,would be
Gebäude,building
Ähm,Um
versprochen,promised
O,O
fort,forth
erledigt,completed
Armee,army
nahm,took
näher,closer
weitere,Further
Will,Want
Rücken,move
Chef,boss
Regierung,government
Preis,price
Hm,Hm
Wunder,wonder
Verbindung,connection
Bescheid,notice
Boot,boat
Situation,situation
normal,normal
erledigen,take care of
mußt,must
Ehre,honor
Planeten,Planet
fürs,for
darin,in this
kriegst,get
ich's,I ... it
drehen,rotate
Denk,Think
Prinzessin,princess
Drogen,Drugs
Reise,trip
Mord,murder
Ob,If
Toll,Great
schwöre,swear
Zeiten,Time
Schlampe,slut
Regeln,rules
aussehen,look
Rede,speech
verliebt,in love
Position,position
redet,talk
Scheisse,Shit
Möglichkeit,opportunity
Sonne,Sun
hol,hold
letzter,last
Kontakt,Contact
Könnte,Could
Damen,Ladies
deswegen,because of this
ähm,um
gekauft,bought
Schwert,sword
Hunger,hunger
Frieden,peace
persönlich,personally
Blick,view
Einzige,Only
Nachrichten,Messages
Maul,Mouth
verraten,reveal
Hoffnung,hope
geboren,born
Untertitel,subtitle
kaputt,broken
Soldaten,soldiers
eigene,own
ans,to
übrig,left over
Muss,Must
hältst,hold
aufhalten,stop
Zeichen,sign
Sofort,Immediately
dauert,take
versteckt,hidden
tatsächlich,indeed
Schwein,pig
Band,tape
Laß,Let
Haare,hair
wütend,furious
Hochzeit,wedding
schrecklich,terrible
fühlt,feels
Energie,energy
traurig,Sad
sauber,clean
Leiche,corpse
links,Left
Kleine,Small
super,great
Bord,Board
möchten,would
Erst,First
magst,like
fangen,catch
gesucht,searched
beschäftigt,employed
wisst,scoff
weisst,knows
Wartet,Wait
erwarten,expect
verschwunden,disappeared
Professor,professor
sobald,as soon
geredet,talked
Brief,letter
acht,eight
Lauf,Run
zeigt,indicates
Show,show
hübsch,pretty
sucht,seeks
verkauft,sold
sagtest,assessed
namens,called
Fernsehen,TV
wohin,where
Hol,Hold
ließ,pitch
heiße,name is
fährt,moves
tanzen,to dance
nervös,nervous
findest,find
gegessen,eaten
fehlt,is missing
Vergangenheit,past
miteinander,together
deines,Your
neben,Next
Handy,mobile
anderer,another
tief,deep
ran,ran
Runter,Down
Aufgabe,task
richtigen,right
Foto,photo
schau,show
verdammten,damn
Tee,tea
sieben,seven
Fuß,foot
geschlafen,sleep
brauch,custom
Kindern,Children
Beine,legs
ewig,eternal
absolut,absolutely
hm,Hm
schlechte,bad
Unsinn,nonsense
ruf,call
Treffen,To meet
irgendetwas,anything
hörst,hear
Bombe,bomb
bekam,got
Herrn,Mr
Halten,Keep
gelassen,calmly
Tante,aunt
angefangen,begun
Hals,neck
vorne,in front
Bullen,cops
Bank,Bank
Weise,wise
verantwortlich,responsible
öffnen,to open
schwierig,difficult
seh,see
bleibe,stay
rechts,right
Operation,surgery
Sollen,Should
Anwalt,attorney
verspreche,promising
bleibst,stay
a,a
Glückwunsch,congratulation
entscheiden,decide
entfernt,removed
brachte,brought
zerstören,destroy
Wahrscheinlich,Probably
Lied,song
gespielt,played
aussieht,look
Tun,To do
Lust,desire
Vaters,Father
Uh,Uh
Meinst,Mean
Bilder,photos
uh,uh
kriege,wars
Feind,enemy
Händen,Hands
jung,young
Ball,ball
stecken,put
Sobald,As soon as
Reden,Talk
geholfen,help
gleichen,equal
gehören,belong
wach,awake
genannt,called
zahlen,numbers
nahe,vicinity
Aufnahme,admission
Achtung,danger
gleiche,same
Viele,Lots
Mission,mission
bekomme,get
laut,according to
Schmerz,pain
Ehrlich,Honest
Schlag,Punch
Jawohl,Yes sir
Fleisch,meat
legen,lay
möchtest,want
Verstehst,Understand
Wozu,For what reason
Weihnachten,Christmas
Erinnerst,Remember
Zieh,Pull
Schwierigkeiten,trouble
Park,park
Durch,Through
Bleiben,Remain
wussten,knew
meint,means
Gesellschaft,society
gebeten,prayer
erhalten,receive
bedeuten,mean
Kennst,Know
verstecken,hide
Respekt,respect
dasselbe,the same thing
Gehirn,brain
entschieden,decided
zieht,pull
liebst,lovely
dachten,thought
Witze,Jokes
na,n / A
sorgen,"ensure, to care"
All,Alles
Volk,people
Rat,advice
lebe,live
Präsidenten,President
Schuhe,Shoes
Monster,monster
dauern,last
Beweise,proofs
Hälfte,half
schauen,look
Kirche,church
Eines,One
Hintern,butt
Spur,track
Lehrer,Teacher
Hilf,Help
Gold,gold
Denken,Think
lieb,Dear
wunderbar,Marvelous
Güte,quality
lasst,leaves
geliebt,loved
fahre,ride
Loch,hole
geschlagen,beaten
ganzes,whole
wunderschön,beautiful
lachen,laugh
beweisen,to prove
Zeig,show
Kleiner,Smaller
gegenüber,opposite to
Bus,bus
großes,big
Verstand,understanding
trägt,wearing
herausfinden,find out
gewartet,waited
niemandem,no one
Gegend,area
Bevor,Before
schönen,breeze
seltsam,strange
bewegt,emotional
Haut,skin
Fotos,photos
nah,close
Angriff,attack
Erzähl,Narrow
interessant,Interesting
Schlaf,sleep
Wind,wind
Messer,knife
lag,lay
fürchte,fear
beginnt,begins
Weiter,Continue
überrascht,surprised
Stell,Set
gefangen,caught
bleib,stay
Bein,leg
Eier,Eggs
singen,to sing
seht,look
Überraschung,surprise
Dorf,Village
besorgen,obtain
Glas,Glass
Fünf,Five
Einfach,Simple
besuchen,visit
geändert,changed
beginnen,start
echte,true
Pferd,horse
Held,hero
Taxi,taxi
Freunden,friends
mitnehmen,take along
Gruppe,group
Sorry,Sorry
besorgt,concerned
System,system
Gleich,Equal
Würde,Would
ruft,calls
Fahren,Drive
Steh,Stand up
nimmst,take
Obwohl,Even though
Bringt,Brings
falschen,false
leisten,Afford
schwanger,pregnant
Fahr,Driving
Adresse,address
gemeinsam,together
entkommen,escape
übel,bad
vermisst,missing
Lady,lady
Küche,kitchen
Flug,flight
Besuch,visit
hängt,hangs
werfen,throw
falsche,false
Sogar,Even
Ring,ring
Verschwinde,Disappear
überleben,survive
Gesetz,law
Tor,goal
Wald,Forest
ungefähr,approximately
Patienten,Patient
Maschine,machine
Könnten,Could
junge,Boy
Fräulein,young lady
gehts,go
Ehe,marriage
Würden,Would
Schauspieler,actor
Dach,roof
Übersetzung,translation
kannte,knew
Bringen,Bring
wir's,we s
drinnen,inside
Wisst,Scoff
Während,While
Tat,did
Suche,seek
Letzte,Last
blöd,silly
Blumen,flower
Setzen,Set
Freiheit,freedom
seines,his
Ecke,corner
Wäre,Would
Knast,Jail
Karten,cards
pro,Per
Leg,Leg
helfe,help
oh,Oh
Wein,Wine
wette,bet
Vergnügen,pleasure
Uns,US
Unterschied,difference
Lieber,Dear
Verbrechen,crime
gibst,give
Vertrauen,trust
gesund,healthy
Deswegen,Because of this
zweite,second
Hörst,Hear
erkennen,recognize
Meter,meter
euren,go
weder,neither
Schüler,pupils
obwohl,although
bisher,until now
welcher,which one
Mut,courage
davor,before
Bar,bar
wohnen,reside
Dem,To the
Echt,Really
statt,instead of
Pause,Break
Neues,New
Auftrag,order
Hoffentlich,Hopefully
Tschüss,bye
Wand,Wall
schreit,cries
Männern,Men
Kennen,Know
spreche,speak
kostet,cost
Zuerst,First
Erfolg,success
Wofür,For what
soweit,so far
Möchtest,Want
Meinen,Think
teilen,divide
erschossen,shot
entlang,along
Eis,ice cream
nem,nem
Amerikaner,American
Abendessen,dinner
Mistkerl,Mistker
übernehmen,take over
Irgendwas,Anything
danken,to thank
irgendwann,Sometime
gebaut,built
schützen,protection
beenden,break up
Super,great
Polizist,police officer
gefahren,driven
Bericht,report
wovon,About what
Test,test
Monsieur,Monsoon
Arme,poor
wüsste,knew
woher,where from
Majestät,majesty
Fertig,Ready
versteht,understands
trifft,meets
Meer,sea
Hut,cap
zuvor,before
lief,ran
Haltet,Holding
Zeitung,newspaper
Mami,Mum
schuldig,guilty
bauen,to build
Freude,joy
zufrieden,satisfied
Zuhause,At home
versuchte,tried
Drink,drink
Niemals,Never
sprach,spoke
indem,by doing
gemeint,meant
fühlst,feel
deren,whose
Quatsch,crap
Kugel,Bullet
Klingt,Sound
hielt,held
Gericht,court
furchtbar,awful
Würdest,Thought
Wirst,Become
verpasst,lost
Ohren,Ear
Rose,rose
neuer,news
fanden,found
Haufen,heap
Drehbuch,script
Gutes,Good
Schätzchen,baby
Deal,deal
Ma'am,Ma'am
Haar,hair
stehe,stand
fassen,grasp
Ehemann,husband
funktionieren,function
fragte,asked
verhaftet,arrested
drüber,over
Sergeant,sergeant
stimmt's,right
Verantwortung,responsibility
Major,major
feiern,celebrate
Bücher,Books
kümmere,caring
ähnlich,similar
unterhalten,to chat
Stein,stone
kümmert,takes care
nächstes,next
gewusst,knew
Beim,At the
schöner,more beautiful
aufpassen,watch out
Unglaublich,Unbelievable
Katze,cat
geschieht,happening
Brüder,brothers
mitgebracht,brought
unseres,our
Verstehe,understand
Lord,lord
letztes,last
dessen,whose
Vier,Four
mitten,in the middle
erinnert,remind
Wahnsinn,insanity
vorhin,beforehand
Neuigkeiten,news
setzt,puts
klasse,class
Einige,Some
zufällig,coincidentally
Kleid,dress
Jedenfalls,In any case
Angebot,offer
erklärt,explained
stellt,set
Restaurant,restaurant
Kommst,Come
Zur,To the
Serie,series
melden,Report
Brücke,bridge
Erinnerungen,memories
gestellt,placed
Sagt,Says
Schmerzen,pains
besteht,consists
verdienen,earn
hallo,Hi
offensichtlich,obviously
Fisch,fish
hängen,hang
Gelegenheit,opportunity
Endlich,Finally
Möchten,Would
konntest,met
bekommst,get
Idioten,Idiot
Virus,virus
größte,largest
gingen,worn
Strand,Beach
geplant,planned
betrunken,drunk
fängt,catches
keinem,no
bringst,bring
Süße,Sweet
irgendwelche,any
Thema,theme
Date,Date
Stellen,Put
machten,put
diesmal,this time
Guck,Look
Figur,figure
Weisst,Knows
ne,ne
brechen,break
lacht,laugh
Gar,At all
angetan,imaginable
Paar,Pair
Druck,pressure
mitkommen,come along
reich,rich
Nie,Never
Fluss,flow
wirkt,act
Werden,Will
traf,met
schließlich,in the end
Richtige,right one
Gewalt,violence
gelaufen,ran
Daten,Data
Hunde,dogs
Großvater,grandfather
wahre,real
nachgedacht,thoughtful
Falle,Cases
eigenes,own
Gang,gear
sahen,saw
erreicht,achieved
Willen,Saw
solchen,such
schlechter,worse
einzigen,single
willkommen,welcome
ermordet,murdered
Tiere,animals
Sollte,Should
ner,ner
längst,a long time ago
Autos,cars
Hätte,Had
wohnt,lover
krieg,war
fiel,fell
Hose,trousers
leiden,Suffer
Hau,Haunt
sprichst,speak
freue,am happy
Außer,Except
gebrochen,Broken
Baum,tree
gehalten,held
Träume,dreams
Reihe,row
stelle,Job
Medizin,medicine
halb,half
gezeigt,shown
Meilen,miles
Lieutenant,Lieutenant
hieß,was called
Wunsch,wish
erster,first
Befehle,Commands
Bastard,bastard
rief,shouted
Nachdem,After
Toten,Kill
Frühstück,breakfast
schaffst,man
ihres,Yours
hat's,it has it
aufgeben,give up
Gespräch,conversation
Engel,Angel
verbringen,spend
Terroristen,Terrorist
Erfahrung,Experience
brauchte,needed
schätzen,treasure
seien,be
Nehmt,Taking
Bad,bath
Vogel,bird
Wochenende,weekend
neun,nine
fantastisch,fantastic
Bleibt,Remains
zweiten,second
vollkommen,completely
Unter,Under
verfolgen,pursue
schläft,is sleeping
bemerkt,noticed
Marge,margin
Erste,First
erinnerst,remember
Deinen,Yours
Wichser,wanker
Signal,signal
Wollt,Want
Wieder,Again
schließen,shut down
Pistole,pistol
lächerlich,ridiculous
Filme,Movie